iter	Passed	Remaining
0	19	5045
1	36	4680
2	52	4530
3	70	4506
4	87	4494
5	104	4428
6	122	4442
7	137	4361
8	152	4272
9	167	4199
10	182	4139
11	201	4182
12	218	4173
13	236	4167
14	254	4180
15	276	4228
16	294	4220
17	311	4201
18	327	4177
19	345	4160
20	363	4157
21	382	4152
22	399	4134
23	414	4097
24	430	4063
25	449	4063
26	467	4048
27	484	4032
28	502	4022
29	524	4035
30	542	4027
31	560	4011
32	578	4000
33	596	3980
34	614	3969
35	633	3958
36	650	3937
37	665	3906
38	681	3877
39	696	3850
40	717	3852
41	734	3830
42	751	3810
43	771	3802
44	791	3801
45	809	3781
46	826	3761
47	843	3740
48	861	3727
49	881	3718
50	898	3700
51	914	3677
52	929	3649
53	944	3620
54	966	3620
55	983	3598
56	1001	3584
57	1023	3583
58	1042	3567
59	1060	3552
60	1077	3533
61	1095	3516
62	1114	3501
63	1131	3484
64	1149	3465
65	1164	3440
66	1181	3419
67	1196	3395
68	1218	3389
69	1235	3372
70	1253	3353
71	1272	3339
72	1293	3331
73	1310	3312
74	1327	3292
75	1345	3274
76	1362	3256
77	1380	3238
78	1399	3223
79	1414	3199
80	1429	3177
81	1445	3156
82	1467	3147
83	1484	3128
84	1501	3109
85	1521	3096
86	1542	3085
87	1560	3066
88	1577	3048
89	1595	3030
90	1614	3015
91	1632	2999
92	1651	2983
93	1667	2962
94	1683	2941
95	1702	2925
96	1721	2911
97	1739	2893
98	1757	2876
99	1778	2863
100	1797	2847
101	1814	2827
102	1831	2808
103	1848	2790
104	1867	2774
105	1885	2757
106	1902	2738
107	1918	2718
108	1934	2697
109	1951	2678
110	1972	2666
111	1990	2648
112	2007	2629
113	2027	2614
114	2046	2598
115	2064	2580
116	2081	2562
117	2099	2544
118	2117	2526
119	2135	2509
120	2152	2490
121	2167	2469
122	2182	2449
123	2198	2429
124	2221	2417
125	2238	2398
126	2256	2380
127	2276	2365
128	2295	2349
129	2313	2331
130	2330	2312
131	2346	2293
132	2366	2277
133	2384	2259
134	2401	2241
135	2417	2221
136	2432	2201
137	2449	2182
138	2471	2168
139	2488	2150
140	2507	2133
141	2528	2119
142	2546	2101
143	2564	2083
144	2581	2065
145	2598	2047
146	2616	2029
147	2635	2012
148	2652	1993
149	2667	1974
150	2684	1955
151	2699	1935
152	2720	1920
153	2737	1901
154	2754	1883
155	2774	1867
156	2795	1851
157	2812	1833
158	2830	1816
159	2847	1797
160	2866	1780
161	2884	1762
162	2901	1744
163	2918	1726
164	2933	1706
165	2949	1687
166	2971	1672
167	2989	1654
168	3007	1637
169	3026	1619
170	3046	1603
171	3063	1585
172	3081	1567
173	3098	1549
174	3117	1532
175	3136	1514
176	3152	1496
177	3167	1477
178	3183	1458
179	3198	1439
180	3219	1423
181	3237	1405
182	3255	1387
183	3275	1370
184	3295	1353
185	3312	1335
186	3330	1317
187	3347	1300
188	3366	1282
189	3384	1264
190	3401	1246
191	3416	1227
192	3432	1209
193	3448	1190
194	3470	1174
195	3487	1156
196	3505	1138
197	3525	1121
198	3546	1104
199	3563	1086
200	3581	1069
201	3598	1050
202	3616	1033
203	3636	1016
204	3653	997
205	3668	979
206	3684	961
207	3699	942
208	3720	925
209	3738	907
210	3755	889
211	3774	872
212	3794	855
213	3811	836
214	3828	819
215	3846	801
216	3864	783
217	3881	765
218	3900	748
219	3915	729
220	3930	711
221	3945	693
222	3967	675
223	3983	658
224	4001	640
225	4020	622
226	4042	605
227	4059	587
228	4076	569
229	4095	551
230	4114	534
231	4132	516
232	4152	499
233	4168	480
234	4183	462
235	4198	444
236	4219	427
237	4237	409
238	4254	391
239	4273	373
240	4295	356
241	4314	338
242	4331	320
243	4349	303
244	4367	285
245	4385	267
246	4403	249
247	4419	231
248	4434	213
249	4449	195
250	4472	178
251	4489	160
252	4507	142
253	4527	124
254	4549	107
255	4566	89
256	4584	71
257	4603	53
258	4622	35
259	4640	17
260	4658	0
